City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
507,onega,63.9061,38.1404,259.83,93,100,5.29,RU,1702244594
508,kargasok,59.0556,80.8572,240.91,100,7,2.68,RU,1702244595
509,santa elena de uairen,4.6167,-61.1333,298.06,58,93,1.71,VE,1702244595
510,urangan,-25.3,152.9,297.73,67,66,8.23,AU,1702244595
511,basco,20.4487,121.9702,299.8,80,28,8.24,PH,1702244596
512,maglavit,44.0333,23.1,277.07,76,99,1.89,RO,1702244596
513,tofol,5.3248,163.0078,300.92,80,28,7.06,FM,1702244597
514,lensk,60.7253,114.9278,246.24,93,100,4.29,RU,1702244597
515,ciudad rodrigo,40.6,-6.5333,281.37,97,36,2.05,ES,1702244598
516,antonio enes,-16.2325,39.9086,300.34,83,10,5.65,MZ,1702244599
517,george town,5.4112,100.3354,300.11,92,20,1.03,MY,1702244599
518,isiro,2.7739,27.616,293.52,95,100,1.29,CD,1702244600
519,alta,69.9689,23.2717,263.74,73,0,7.2,NO,1702244600
520,shimanovsk,52.0,127.7,250.24,70,0,5.35,RU,1702244601
521,mandiana,10.6333,-8.6833,298.64,18,100,1.6,GN,1702244601
522,gornozavodsk,58.3758,58.3211,239.34,100,41,1.33,RU,1702244601
523,maxixe,-23.8597,35.3472,298.89,94,33,4.38,MZ,1702244602
524,necochea,-38.5473,-58.7368,293.75,56,0,6.13,AR,1702244602
525,kish,26.5578,54.0194,295.3,68,0,3.09,IR,1702244602
526,puerto aysen,-45.4,-72.7,285.76,99,100,2.3,CL,1702244603
527,bishkek,42.87,74.59,264.26,86,100,0.6,KG,1702244603
528,tshabong,-26.05,22.45,296.88,14,74,5.49,BW,1702244604
529,crane,31.3974,-102.3501,285.02,20,2,5.02,US,1702244604
530,zouerate,22.7187,-12.4521,293.76,23,57,4.56,MR,1702244604
531,mirny,62.5353,113.9611,243.97,96,100,3.1,RU,1702244605
532,vernon,50.2581,-119.2691,277.93,86,100,3.6,CA,1702244605
533,lagunas,-5.2269,-75.6753,303.13,65,86,1.08,PE,1702244606
534,nuriootpa,-34.4833,139.0,291.47,82,86,10.32,AU,1702244606
535,lucapa,-8.4192,20.7447,291.92,97,97,1.33,AO,1702244606
536,helong,42.5397,128.9972,263.23,45,100,0.72,CN,1702244607
537,tamanrasset,22.785,5.5228,287.1,23,0,2.06,DZ,1702244607
538,luang namtha,20.9497,101.4011,291.83,99,15,0.33,LA,1702244608
539,migne,46.6274,0.3146,288.21,94,100,7.2,FR,1702244608
540,djamaa,33.5339,5.9931,288.57,38,1,4.04,DZ,1702244608
541,cidreira,-30.1811,-50.2056,293.31,94,97,8.12,BR,1702244609
542,amasra,41.7463,32.3863,282.48,80,71,1.95,TR,1702244609
543,nikolayevsk-on-amure,53.1406,140.73,251.84,79,100,5.45,RU,1702244610
544,tidjikja,18.5564,-11.4271,294.76,20,61,5.48,MR,1702244610
545,aberglasslyn,-32.7,151.5333,298.46,58,0,0.96,AU,1702244610
546,kununurra,-15.7667,128.7333,299.14,65,75,3.6,AU,1702244611
547,iwon-up,40.3231,128.6553,274.75,95,100,4.37,KP,1702244611
548,itamaraju,-17.0392,-39.5311,297.2,78,2,2.46,BR,1702244611
549,shitanjing,39.2342,106.3439,270.05,44,54,3.56,CN,1702244612
550,myeik,12.4333,98.6,297.97,90,27,1.55,MM,1702244613
551,ghadamis,30.1337,9.5007,284.44,51,0,3.24,LY,1702244613
552,kerema,-7.9631,145.7785,300.08,77,100,1.49,PG,1702244613
553,conthey,46.2253,7.3037,283.28,93,75,2.06,CH,1702244614
554,alaghsas,17.0187,8.0168,290.87,22,0,6.64,NE,1702244614
555,rundu,-17.9333,19.7667,296.65,38,64,1.63,NA,1702244614
556,vylkove,45.4021,29.586,279.04,80,100,2.16,UA,1702244615
557,bargaal,11.2864,51.0773,297.26,73,4,4.22,SO,1702244615
558,devils lake,48.1128,-98.8651,268.12,93,0,2.06,US,1702244481
559,pemangkat,1.1667,108.9667,298.68,87,100,2.08,ID,1702244616
